VID,EID,ASF,STWMV,STPPT,STSLIDES,SLID,SLWMV,SLTN,SLSLIDES,SLPPT,EVTID,Event,Title,Speakers
0189,0054,0189_w.asf,, ,✅,179,,✅,✅, ,26,Experience the Difference Tour,ASP.net Differences,Dave Webster
0190,0054,0190_w.asf,,✅,✅,180,,✅,✅,✅,26,Experience the Difference Tour,"A Look Inside Membership, Role Management, and Profiles in ASP.NET 2.0 ",Stefan Schackow
0191,0054,0191_w.asf,, ,✅,181,,✅,✅, ,26,Experience the Difference Tour,Tips and Tricks with ASP.net 2.0,Stefan Schackow
0192,0054,0192_w.asf,, ,✅,182,,✅,✅, ,26,Experience the Difference Tour,Creating Dynamic Web Sites with ASP.net 2.0 Web Parts ,Stefan Schackow
0193,0054,0193_w.asf,, ,✅,183,,✅,✅, ,26,Experience the Difference Tour,Visual Studio Team System: Testing and Tuning Web Apps - Part 1,Dave Webster
0194,0054,0194_w.asf,, ,✅,184,,✅,✅, ,26,Experience the Difference Tour,Visual Studio Team System: Testing and Tuning Web Apps - Part 2,Dave Webster
0195,0054,0195_w.asf,, ,✅,185,,✅,✅, ,26,Experience the Difference Tour,A Lap Around New Enhancements for Web Developers in Visual Studio 2005,Dave Webster
0196,0054,0196_w.asf,,✅,✅,186,,✅,✅,✅,26,Experience the Difference Tour,The ASP.NET 2.0 Data Controls,Kerem Ozsu
0197,0054,0197_w.asf,,✅,✅,187,,✅,✅,✅,26,Experience the Difference Tour,Best Practices and Techniques for Migrating Classic ASP Applications to ASP.NET 2.0,Kerem Ozsu
0198,0054,0198_w.asf,, ,✅,188,,✅,✅, ,26,Experience the Difference Tour,"ASP.NET 2.0 - Master pages, themes, and site navigation ",Kerem Ozsu
0199,0054,0199_w.asf,,✅,✅,189,,✅,✅,✅,26,Experience the Difference Tour,"ASP.NET ""Atlas"" Overview ",Kerem Ozsu
0200,0054,0200_w.asf,,✅,✅,190,,✅,✅,✅,26,Experience the Difference Tour,What's new in Visual Basic 2005,"Jay Roxe,Tyler Whitney"
0201,0054,0201_w.asf,,✅,✅,191,,✅,✅,✅,26,Experience the Difference Tour,Windows forms 2.0 development and deployment ,Tyler Whitney
0202,0054,0202_w.asf,, ,✅,192,,✅,✅, ,26,Experience the Difference Tour,Introduction to ASP.net 2.0 using Visual Basic 2005 ,Alexander Holy
0203,0054,0203_w.asf,, ,✅,193,,✅,✅, ,26,Experience the Difference Tour,Smart Client development using visual studio tools for office and windows mobile. ,Jay Roxe
0204,0054,0204_w.asf,,✅,✅,194,,✅,✅,✅,26,Experience the Difference Tour,Top Ten tips and Tricks from the Visual basic team,Tyler Whitney
0205,0055,0205_w.asf,,✅,✅,195,,✅,✅,✅,27,TechNet Konference,Windows Vista,"Ladislav Šolc, Jan Dryml"
0206,0055,0206_w.asf,,✅,✅,196,,✅,✅,✅,27,TechNet Konference,Novinky v SQL Server 2005,Alexander Harmath
0207,0055,0207_w.asf,,✅,✅,197,,✅,✅,✅,27,TechNet Konference,Exchange Server 2003 SP2,Marián Henc
0208,0055,0208_w.asf,,✅,✅,198,,✅,✅,✅,27,TechNet Konference,Windows Server 2003 R2 - co je nového?,"Jan Dryml, Marián Henc"
0209,0055,0209_w.asf,,✅,✅,199,,✅,✅,✅,27,TechNet Konference,Windows Media Center,René Klco
0210,0056,0210a_w.asf,hd,✅,✅,200,,✅,✅,✅,29,Tech.Ed US 2006 - Strategy Briefings,Introducing the 2007 Microsoft Office System: Amplify the Impact of Your People,Chris Capossella
0211,0056,0211_w.asf,,✅,✅,201,,✅,✅,✅,28,Tech.Ed US 2006,Windows Vista: Securing Wireless Networks,Taranjeet Athwal
0212,0056,0212b_w.asf,,✅,✅,202,,✅,✅,✅,29,Tech.Ed US 2006 - Strategy Briefings,Advance your Business with IT Solutions,Steven Guggenheimer
0213,0056,0213_w.asf,,✅,✅,203,,✅,✅,✅,29,Tech.Ed US 2006 - Strategy Briefings,Microsoft Security Progress and Strategy: Building Trust in Computing,Ben Fathi
0214,0056,0214_w.asf,,✅,✅,204,,✅,✅,✅,29,Tech.Ed US 2006 - Strategy Briefings,Announcing the Windows Live Platform,Brian Arbogast
0215,0056,0215_w.asf,,✅,✅,205,,✅,✅,✅,28,Tech.Ed US 2006,Anti-Malware Technologies in Windows Vista,Adam Overton
0216,0056,0216_w.asf,,✅,✅,206,,✅,✅,✅,28,Tech.Ed US 2006,Building Reliability into Windows Vista,"David Zipkin,Elsie Nallipogu"
0217,0056,0217_w.asf,,✅,✅,207,,✅,✅,✅,28,Tech.Ed US 2006,Account Control: Running Windows Vista with Least Privilege,Steve Hiskey
0218,0056,0218_w.asf,,✅,✅,208,,✅,✅,✅,28,Tech.Ed US 2006,Windows Vista: Remote Deployments,Andy Zeigler
0219,0056,0219_w.asf,,✅,✅,209,,✅,✅,✅,28,Tech.Ed US 2006,Windows PowerShell: Next Generation Command Line Scripting,Jeffrey Snover
0220,0056,0220_w.asf,hd,✅,✅,210,hd,✅,✅,✅,28,Tech.Ed US 2006,Windows Vista Security Guide,Mike Danseglio
0221,0056,0221_w.asf,,✅,✅,211,,✅,✅,✅,28,Tech.Ed US 2006,SQL Server 2005 Analysis Services: Deep Dive,"TK Anand, Cristian Petculescu"
0222,0056,0222_w.asf,,✅,✅,212,,✅,✅,✅,28,Tech.Ed US 2006,"Ten Reasons to Prepare for Windows Server Code Named ""Longhorn""",Ward Ralston
0223,0056,0223_w.asf,,✅,✅,213,,✅,✅,✅,28,Tech.Ed US 2006,Image Engineering: Creating Your Perfect Windows Vista Desktop,Joe Morris
0224,0056,0224a_w.asf,,✅,✅,214,high,✅,✅,✅,28,Tech.Ed US 2006,Scripting for IT Professionals Who Can't Write Code,Corey Hynes
0225,0056,0225_w.asf,,✅,✅,215,,✅,✅,✅,28,Tech.Ed US 2006,Microsoft IT: Deploying Windows Vista,Chad Lewis
0226,0056,0226a_w.asf,,✅,✅,216,high,✅,✅,✅,28,Tech.Ed US 2006,Deploying Windows Vista: Everything You Need in One Hour ,Corey Hynes
0227,0056,0227_w.asf,,✅,✅,217,,✅,✅,✅,28,Tech.Ed US 2006,Introducing System Center Operations Manager 2007,"Dhananjay Mahajan, Omar Kouatly "
0228,0056,0228_w.asf,,✅,✅,218,,✅,✅,✅,28,Tech.Ed US 2006,Next Generation Networking Features,"Chris Mitchell, Ian Hameroff"
0229,0056,0229_w.asf,,✅,✅,219,,✅,✅,✅,28,Tech.Ed US 2006,New Backup and Offline Files Features in Windows Vista,"Navjot Virk, Dan Stevenson"
0230,0056,0230_w.asf,,✅,✅,220,,✅,✅,✅,29,Tech.Ed US 2006 - Strategy Briefings,"Optimize Your Core Infrastructure: Manage Complexity, Achieve Agility, Protect Information and Control Access",Bob Kelly
0231,0056,0231_w.asf,,✅,✅,221,,✅,✅,✅,28,Tech.Ed US 2006,Troubleshooting Group Policy,Derek Melber
0232,0056,0232_w.asf,,✅,✅,222,,✅,✅,✅,28,Tech.Ed US 2006,Group Policy: What's New in Windows Vista,Mark Williams
0233,0056,0233_w.asf,,✅,✅,223,,✅,✅,✅,28,Tech.Ed US 2006,Windows Vista System Integrity Technologies,Steve Riley
0234,0051,0234_w.asf,, ,✅,224,,✅,✅, ,24,Ready To Rock - The Tech Days,SQL Server 2005 Security,Rafal Lukawiecki
0235,0051,0235_w.asf,,✅,✅,225,,✅,✅,✅,24,Ready To Rock - The Tech Days,Boas Práticas: Arquitectura e Implementação de Systems Management Server (SMS) 2003 SP1,Nino Torres
0236,0057,0236_w.asf,,✅,✅,226,,✅,✅,✅,30,TechNet Security Workshop VI,"Certificati digitali? Cosa sono, come funzionano, come si ottengono",Piergiorgio Malusardi
0237,0057,0237_w.asf,,✅,✅,227,,✅,✅,✅,30,TechNet Security Workshop VI,Certification Authority,Fabrizio Grossi
0238,0057,0238_w.asf,,✅,✅,228,,✅,✅,✅,30,TechNet Security Workshop VI,Gestione del ciclo di vita dei certificati,Piergiorgio Malusardi
0239,0057,0239_w.asf,, ,✅,229,,✅,✅,,30,TechNet Security Workshop VI,Analisi dei rischi che si corrono tramite esempi pratici,Fabrizio Grossi
0240,0057,0240_w.asf,, ,✅,230,,✅,✅,,30,TechNet Security Workshop VI,IPSec per proteggere il traffico di rete,Fabrizio Grossi
0241,0057,0241_w.asf,,✅,✅,231,,✅,✅,✅,30,TechNet Security Workshop VI,Virtual Private Network per un accesso sicuro alla rete aziendale,Piergiorgio Malusardi
0242,0057,0242_w.asf,,✅,✅,232,,✅,✅,✅,30,TechNet Security Workshop VI,SSL per proteggere il traffico Web e rendere sicura l’autenticazione Basic,Piergiorgio Malusardi
0243,0057,0243_w.asf,, ,✅,233,,✅,✅, ,30,TechNet Security Workshop VI,WIFI: come rendere le reti Wireless più sicure delle reti Ethernet,Fabrizio Grossi
0244,0057,0244_w.asf,,✅,✅,234,,✅,✅,✅,30,TechNet Security Workshop VI,Windows Vista: ultime novità su Windows Vista e Longhorn,Piergiorgio Malusardi
0245,0058,0245_w.asf,,✅,✅,235,,✅,✅,✅,22,TechNet Videos - Webcasts 2006,Geschäftskritische Applikationen mit SQL Server 2005 als Datenbankserver,"Dr. Bernd Kiupel, Steffen Krause"
0246,0058,0246_w.asf,, ,✅,236,,✅,✅, ,22,TechNet Videos - Webcasts 2006,Business Intelligence mit Microsoft,"Steffen Krause, Boris Cordes"
0247,0058,0247_w.asf,,✅,✅,237,,✅,✅,✅,22,TechNet Videos - Webcasts 2006,Überblick über Microsoft Office SharePoint Server 2007,"Andreas Schulz, Steffen Krause"
0248,0059,0248_w.asf,,✅,✅,238,,✅,✅,✅,31,Innovation 2006,Microsoft Innovation Joint Keynote,"George Asgari, Simon Higgin"
0249,0059,0249_w.asf,,✅,✅,239,,✅,✅,✅,31,Innovation 2006,Windows Vista Deployment,John Pritchard
0250,0059,0250_w.asf,,✅,✅,240,,✅,✅,✅,31,Innovation 2006,"Office ""12"" Servers Overview",Angus Logan
0251,0059,0251_w.asf,,✅,✅,241,,✅,✅,✅,31,Innovation 2006,Imaging Windows Vista,"John Pritchard , Jeff Alexander"
0252,0059,0252_w.asf,,✅,✅,242,,✅,✅,✅,31,Innovation 2006,"Windows SharePoint Services ""v3"": Technical Fundamentals and Features - What's New",Angus Logan
0253,0059,0253_w.asf,,✅,✅,243,,✅,✅,✅,31,Innovation 2006,Windows Vista Reliability and Security Enhancements,Jeff Alexander
0254,0059,0254_w.asf,,✅,✅,244,,✅,✅,✅,31,Innovation 2006,Introducing Developer Features for Office,"Charles Sterling , John Hodgson"
0255,0059,0255_w.asf,,✅,✅,245,,✅,✅,✅,31,Innovation 2006,Upgrading applications to Windows Vista Part I,Darren Neimke
0256,0059,0256_w.asf,,✅,✅,246,,✅,✅,✅,31,Innovation 2006,Developer Features Windows Vista - Part II,"Charles Sterling , John Hodgson"
0257,0059,0257_w.asf,,✅,✅,247,,✅,✅,✅,31,Innovation 2006,Developer Features Windows Vista - Part III,Darren Neimke 
0258,0059,0258_w.asf,,✅,✅,248,,✅,✅,✅,31,Innovation 2006,"Developing on the Office ""12"" System Servers",John Hodgson
0259,0060,0259_w.asf,,✅,✅,249,,✅,✅,✅,36,TechNet Webcast,Windows Server 2003 R2,Michael Anderberg
0260,0060,0260_w.asf,,✅,✅,250,,✅,✅,✅,36,TechNet Webcast,"Microsoft Exchange Server ""12"": En Förhandstitt...",Michael Anderberg
0261,0060,0261_b.asf,,✅,✅,251,,✅,✅,✅,36,TechNet Webcast,Identitetshantering: Microsofts Lösningar...,Michael Anderberg
0262,0060,0262_w.asf,,✅,✅,252,,✅,✅,✅,36,TechNet Webcast,Office 2007,Maria Johansson
0263,0060,0263_w.asf,,✅,✅,253,,✅,✅,✅,36,TechNet Webcast,Riskhantering - grunden till all säkerhet,Michael Anderberg
0264,0060,0264_w.asf,,✅,✅,254,,✅,✅,✅,37,Introduktion till Windows Vista,Introduktion till Windows Vista,Maria Johansson
0265,0060,0265_w.asf,,✅,✅,255,,✅,✅,✅,37,Introduktion till Windows Vista,Introduktion till Windows Vista,Maria Johansson
0266,0060,0266_w.asf,,✅,✅,256,,✅,✅,✅,38,Small Business Server-skolan,"Small Business Server-skolan, Del 4",Mikael Nystrom
0267,0060,0267_w.asf,,✅,✅,257,,✅,✅,✅,38,Small Business Server-skolan,"Small Business Server-skolan, Del 5",Mikael Nystrom
0268,0061,0268_w.asf,,✅,✅,258,,✅,✅,✅,39,WinFX Rotterdam,"Introducing WinFX: WPF, InfoCard (Windows CardSpace) & WCF","Ami Vora, Paul Tallett"
0269,0061,0269_w.asf,,✅,✅,259,,✅,✅,✅,39,WinFX Rotterdam,Introducing WinFX: Workflow Foundation (WF),"Clemens Vasters, Paul Tallett"
0270,0062,0270_w.asf,, , ,260,,,,,20,TechNet IT Forum 2005 - Highlights,Let's Take A Look at Windows Vista - Part 1,James O'Neill
0271,0062,0271_w.asf,, ,✅,261,,,,,20,TechNet IT Forum 2005 - Highlights,Let's Take A Look at Windows Vista - Part 2,James O'Neill
0272,0063,0272_w.asf,,✅,✅,262,,✅,✅,✅,41,Web Administration Summit 2006,Efficient Deployment and management of ASP.net 2.0 Applications on IIS 6.0,Alexis Eller
0273,0063,0273_w.asf,,✅,✅,263,,✅,✅,✅,41,Web Administration Summit 2006,Managing IIS 6.0 Servers in an Enterprise Environment: A Handful of Tips and Tricks.,Chris Adams
0274,0063,0274_w.asf,,✅,✅,264,,✅,✅,✅,41,Web Administration Summit 2006,Advanced Troubleshooting With Debug Diagnostics on IIS6,Chris Adams
0275,0063,0275_w.asf,,✅,✅,265,,✅,✅,✅,41,Web Administration Summit 2006,IIS Data Mining with Log Parser 2.X,Alexis Eller
0276,0063,0276_w.asf,,✅,✅,266,,✅,✅,✅,41,Web Administration Summit 2006,IIS 7: the Administrator's Guide,Alexis Eller
0277,0064,0277_w.asf,, ,✅,267,,,,,40,"Sneak Preview zu Windows Vista und Exchange ""12""",Begrüßung und Einführung,"Oskar Malek, Thomas Kuklovszky"
0278,0064,0278_w.asf,,✅,✅,268,,✅,✅,✅,40,"Sneak Preview zu Windows Vista und Exchange ""12""",Windows Vista: Empowered Professional,"Oskar Malek, Thomas Kuklovszky"
0279,0064,0279_w.asf,,✅,✅,269,,✅,✅,✅,40,"Sneak Preview zu Windows Vista und Exchange ""12""",Windows Vista im Unternehmensnetzwerk: Deployment und Management,"Oskar Malek, Thomas Kuklovszky"
0280,0064,0280_w.asf,,✅,✅,270,,✅,✅,✅,40,"Sneak Preview zu Windows Vista und Exchange ""12""",Windows Vista: Sicherheitserweiterungen im Einsatz,Michael Kalbe
0281,0064,0281_w.asf,,✅,✅,271,,✅,✅,✅,40,"Sneak Preview zu Windows Vista und Exchange ""12""",Exchange Server 2007: Die Neuerungen im Überlick 1,Daniel Melanchthon
0282,0064,0282_w.asf,,✅,✅,272,,✅,✅,✅,40,"Sneak Preview zu Windows Vista und Exchange ""12""",Exchange Server 2007: Die Neuerungen im Überlick 2,Daniel Melanchthon
0283,0062,0283_w.asf,,✅,✅,273,,✅,✅,✅,20,TechNet IT Forum 2005 - Highlights,Management Pack Melee,Gordon McKenna
0284,0062,0284_w.asf,,✅,✅,274,,✅,✅,✅,20,TechNet IT Forum 2005 - Highlights,Virtual Server 2005 R2 Overview,James O'Neill
0285,0062,0285_w.asf,,✅,✅,275,,✅,✅,✅,20,TechNet IT Forum 2005 - Highlights,Exchange 12: A Whistle-Stop Tour,Brett Johnson
0286,0062,0286_w.asf,,✅,✅,276,,✅,✅,✅,20,TechNet IT Forum 2005 - Highlights,The Security Configuration Wizard,Keith D Miller
0287,0062,0287_w.asf,,✅,✅,277,,✅,✅,✅,20,TechNet IT Forum 2005 - Highlights,Monad: Microsoft's Next Generation Command Shell,Thomas Lee
0288,0062,0288_w.asf,,✅,✅,278,,✅,✅,✅,20,TechNet IT Forum 2005 - Highlights,Mobile Messaging and Exchange 2003 SP2 Overview,Ewan Dalton
0289,0062,0289_w.asf,,✅,✅,279,,,✅,✅,20,TechNet IT Forum 2005 - Highlights,Windows Vista: Overview and Roadmap,Thomas Lee
0290,,,, ,✅,280,,,,,48,Ready for a New Day,Ready for a New Day,
0291,,,,✅,✅,281,,,,,48,Ready for a New Day,,
0292,,,,,,282,,,,,48,Ready for a New Day,Managing Windows Vista and Office 2007,
0293,,,,✅,✅,283,,,,,48,Ready for a New Day,,
0294,,,,✅,✅,284,,,,,48,Ready for a New Day,,
0295,0063,0295_w.asf,, ,✅,285,,✅,✅,✅,48,Ready for a New Day,Novedades de Exchange Server 2007 - 1,"Daniel Urbina, David Cervigón"
0296,0063,0296_w.asf,, ,✅,286,,✅,✅,✅,48,Ready for a New Day,Novedades de Exchange Server 2007 - 2,"Daniel Urbina, David Cervigón"
0297,0063,0297_w.asf,, ,✅,287,,✅,✅,✅,48,Ready for a New Day,Presentación Técnica de Windows Vista - 1,"Antonio Gámir, José Parada"
0298,0063,0298_w.asf,, ,✅,288,,✅,✅,✅,48,Ready for a New Day,Presentación Técnica de Windows Vista - 2,"Antonio Gámir, José Parada"
0299,0063,0299_w.asf,, ,✅,289,,✅,✅,✅,48,Ready for a New Day,Presentación Técnica de Windows Vista - 3,"Antonio Gámir, José Parada"
0300,,,,,,290,,,,,,,,
0301,0066,0301_w.asf,,✅,✅,291,,✅,✅,✅,42,Get Ready For Exchange - Roadshow,Exchange 2007 Architecture and Deployment,Jim McBee
0302,0066,0302_w.asf,,✅,✅,292,,✅,✅,✅,42,Get Ready For Exchange - Roadshow,Exchange Server 2007 Management,Jim McBee
0303,0066,0303_w.asf,,✅,✅,293,,✅,✅,✅,42,Get Ready For Exchange - Roadshow,Delivering Anywhere Access: Exchange Server 2007 Unified Messaging,Lasse Pettersson
0304,0066,0304_w.asf,,✅,✅,294,,✅,✅,✅,42,Get Ready For Exchange - Roadshow,Enhancing Messaging with Real-Time Communications,Lasse Pettersson
0305,0067,0305_w.asf,,✅,✅,295,,,,,43,"TechNet Konference, Podzim 2006",Dynamic Systems Initiative -> Microsoft System Center,Jan Dryml
0306,0067,0306_w.asf,,✅,✅,296,,✅,✅,✅,43,"TechNet Konference, Podzim 2006",2007 Microsoft Office System,Tomáš Kutej
0307,0067,0307_w.asf,,✅,✅,297,,✅,✅,✅,43,"TechNet Konference, Podzim 2006","Microsoft Forefront - Bezpecnost, Bezpecnost, Bezpecnost...",Ladislav Šolc
0308,0067,0308_w.asf,,✅,✅,298,,✅,✅,✅,43,"TechNet Konference, Podzim 2006",Microsoft Unified Communications,Marian Henc
0309,0067,0309_w.asf,,✅,✅,299,,✅,✅,✅,43,"TechNet Konference, Podzim 2006",Windows Vista - Chvíli Pred Uvedením,Daniela Lišková
0310,0067,0310_w.asf,,✅,✅,300,,✅,✅,✅,43,"TechNet Konference, Podzim 2006",Xbox 360 - Nová Cool Herní Konzola,Lukáš Zima
0311,0067,0311_w.asf,,✅,✅,301,,✅,✅,✅,43,"TechNet Konference, Podzim 2006",Windows Vista Live,Martin Žugec
0312,0068,0312_w.asf,,✅,✅,302,,✅,✅,✅,44,TechEd Developers,Tech Ed: Developers - Viral Marketing Video,Tech Ed Developers
0313,0069,0313_w.asf,,✅,✅,303,,✅,✅,✅,45,Microsoft Management Summit 2006 ,Keynote: Manage Complexity Achieve Agility with System Center,Tim Sinclair
0314,0069,0314_w.asf,,✅,✅,304,,✅,✅,✅,45,Microsoft Management Summit 2006 ,MOM 2005 and System Center Operations Manager 2007 Technical Drilldown,Vladimir Joanovic
0315,0069,0315_w.asf,,✅,✅,305,,✅,✅,✅,45,Microsoft Management Summit 2006 ,SMS 2003 R2 and System Center Configuration Manager 2007,Walter Mead
0316,0069,0316_w.asf,,✅,✅,306,,✅,✅,✅,45,Microsoft Management Summit 2006 ,Operations Management with System Center Products,Vladimir Joanovic
0317,0069,0317_w.asf,,✅,✅,307,,✅,✅,✅,45,Microsoft Management Summit 2006 ,Windows Management Technologies in Vista and Beyond,Walter Mead
0318,0070,0318_w.asf,,✅,✅,308,,✅,✅,✅,46,TechNet/MSDN Najaar 2006,Keynote - Vista-Office-Exchange Thema,"Tony Krijnen,Daniel van Soest"
0319,0070,0319_w.asf,,✅,✅,309,,✅,✅,✅,46,TechNet/MSDN Najaar 2006,"Windows Vista, 2007 Office System en Business Desktop Deployment (BDD) 2007",Daniel van Soest
0320,0070,0320_w.asf,,✅,✅,310,,✅,✅,✅,46,TechNet/MSDN Najaar 2006,"Microsoft Exchange Server 2007, Wat is er Nieuw?",Steven van Houttum
0321,0070,0321_w.asf,,✅,✅,311,,✅,✅,✅,46,TechNet/MSDN Najaar 2006,Microsoft Windows Vista en verbeteringen voor de betrouwbaarheid,Tony Krijnen
0322,0070,0322_w.asf,,✅,✅,312,,✅,✅,✅,46,TechNet/MSDN Najaar 2006,Overzicht van Office SharePoint Server 2007 met Integratie naar LOB Applicatie Integratie ,Bart Wessels
0323,0070,0323_w.asf,,✅,✅,313,,✅,✅,✅,46,TechNet/MSDN Najaar 2006,2007 Microsoft Office system - Nieuwe Tools en Mogelijkheden voor Deployment,Bart Wessels
0324,0070,0324_w.asf,,✅,✅,314,,✅,✅,✅,46,TechNet/MSDN Najaar 2006,Best Practises voor de Beveiliging van de Microsoft Exchange Server 2007 Infrastructuur,Martijn Bellaard
0325,0068,0325_w.asf,,✅,✅,315,,✅,✅,✅,44,TechEd Developers,Windows SharePoint Services v3 and Office SharePoint Servers 2007 as Development Platform,David Gristwood
0326,0068,0326_w.asf,,✅,✅,316,,✅,✅,✅,44,TechEd Developers,ASP.NET: Developer and Designer AJAX Bliss with Visual Studio and Expression,Brad Abrams
0327,0068,0327_w.asf,,✅,✅,317,,✅,✅,✅,44,TechEd Developers,Visual Studio: The .NET Language Integrated Query (LINQ) Framework Overview ,Anders Hejlsberg
0328,0068,0328_w.asf,,✅,✅,318,,✅,✅,✅,44,TechEd Developers,A Lap Around the New Enhancements for Web Developers in Visual Studio Orcas,Bradley Millington
0329,0068,0329_w.asf,,✅,✅,319,,✅,✅,✅,44,TechEd Developers,C# 3.0: Future Directions in Language Innovation,Anders Hejlsberg
0330,0068,0330_w.asf,,✅,✅,320,,✅,✅,✅,44,TechEd Developers,ASP.NET AJAX Control Toolkit Unleashed ,Shawn Burke
0331,0068,0331_w.asf,,✅,✅,321,,✅,✅,✅,44,TechEd Developers,Synchronizing Data with a Server in SQL Server 2005 Everywhere Edition,Steve Lasker
0332,0068,0332_w.asf,,✅,✅,322,,✅,✅,✅,44,TechEd Developers,Windows Presentation Foundation (WPF): Building Data-Driven Applications with WPF,Ian Griffiths
0333,0068,0333_w.asf,,✅,✅,323,,✅,✅,✅,44,TechEd Developers,Integrating the Visual Studio (VS) Team Edition for Database Professional into your Software Development Lifecycle,Brian Randell
0334,0068,0334_w.asf,,✅,✅,324,,✅,✅,✅,44,TechEd Developers,"Really Simple Syndication (RSS), Podcasting, and Syndication",Carl Franklin
0335,0068,0335_w.asf,,✅,✅,325,,✅,✅,✅,44,TechEd Developers,Common Language Runtime (CLR): IronPython and .NET Scripting Languages,Mahesh Prakriya
0336,0068,0336_w.asf,,✅,✅,326,,✅,✅,✅,44,TechEd Developers,User Account Control: How to Make a Great UAC Application,Chris Corio
0337,0068,0337_w.asf,, ,✅,327,,✅,✅, ,44,TechEd Developers,Implementing Continuous Integration: With and Without Team System,Roy Osherove
0338,0068,0338_w.asf,,✅,✅,328,,✅,✅,✅,44,TechEd Developers,Microsoft Dynamics from Developer's Perspective,Rafal Lukawiecki
0339,0068,0339_w.asf,,✅,✅,329,,✅,✅,✅,44,TechEd Developers,Developing Professional Solutions with Microsoft Office SharePoint Server 2007 (MOSS2007) Search,Michal Gideoni
0340,0068,0340_w.asf,,✅,✅,330,,✅,✅,✅,44,TechEd Developers,Microsoft XNA and the Future of Game Development,Rob Miles
0341,0068,0341_w.asf,,✅,✅,331,,✅,✅,✅,44,TechEd Developers,AJAX Patterns with the Microsoft AJAX Library,Jeff Prosise
0342,0068,0342_w.asf,,✅,✅,332,,✅,✅,✅,44,TechEd Developers,Getting the Most out of Window Forms and Windows Presentation Foundation (WPF),Brad Abrams
0343,0068,0343_w.asf,, ,✅,333,,✅,✅, ,44,TechEd Developers,"Keynote: Windows Vista, the 2007 Office System and Ajax",Eric Rudder
0344,0072,0344d_w.asf,, ,✅,334,,✅,✅, ,49,Tech.Ed: IT Forum 2006,Are You Driving or Being Driven?,Tim Hynes
0345,0072,0345_w.asf,,✅,✅,335,,✅,✅,✅,49,Tech.Ed: IT Forum 2006,Software for the 21st Century,Andrew Herbert
0346,0072,0346_w.asf,,✅,✅,336,,✅,✅,✅,49,Tech.Ed: IT Forum 2006,Microsoft.com Operations - Solutions for Highly Available and Secure Web Sites,"Paul Wright, Chad Kraykovic "
0347,0072,0347_w.asf,, ,✅,337,,✅,✅, ,49,Tech.Ed: IT Forum 2006,An Overview of Microsoft's Vision for Virtualization,Rajiv Arunkundram
0348,0072,0348_w.asf,, ,✅,338,,✅,✅, ,49,Tech.Ed: IT Forum 2006,Keynote: Enabling the People-Ready Business,Bob Muglia
0349,0072,0349_w.asf,hd,✅,✅,339,hd,✅,✅,✅,49,Tech.Ed: IT Forum 2006,Defending Layer 8: How to Recognize and Combat Social Engineering,Steve Riley
0350,0072,0350e_w.asf,,✅,✅,340,,✅,✅,✅,49,Tech.Ed: IT Forum 2006,Windows Vista Kernel Changes,Mark Russinovich
0351,0072,0351_w.asf,,✅,✅,341,,✅,✅,✅,49,Tech.Ed: IT Forum 2006,Office SharePoint 2007 Management,Joel Oleson
0352,0072,0352b_w.asf,,✅,✅,342,,✅,✅,✅,49,Tech.Ed: IT Forum 2006,MS IT: Active Directory (AD) and Active Directory Application Mode (ADAM) in the Extranet,Brian Puhl
0353,0072,0353_w.asf,,✅,✅,343,,✅,✅,✅,49,Tech.Ed: IT Forum 2006,Transitioning to Windows Server Virtualization,Mark Kieffer
0354,0072,0354_w.asf,, ,✅,344,,✅,✅, ,49,Tech.Ed: IT Forum 2006,Windows Server 'Longhorn' and Windows Vista 'Better Together' Technologies ,Julius Sinkevicius
0355,0072,0355_w.asf,,✅,✅,345,,✅,✅,✅,49,Tech.Ed: IT Forum 2006,Client Monitoring with System Center Operations Manager 2007,Dhananjay Mahajan
0356,0072,0356e_w.asf,,✅,✅,346,high,✅,✅,✅,49,Tech.Ed: IT Forum 2006,Advanced Windows Troubleshooting with Sysinternals Process Monitor,Mark Russinovich
0357,0072,0357_w.asf,,✅,✅,347,,✅,✅,✅,49,Tech.Ed: IT Forum 2006,"Microsoft, Open Source and Interoperability",Bill Hilf
0358,0072,0358_w.asf,,✅,✅,348,,✅,✅,✅,49,Tech.Ed: IT Forum 2006,How to Virtualize Infrastructure Workloads,Robert Larson
0359,0072,0359_w.asf,,✅,✅,349,,✅,✅,✅,49,Tech.Ed: IT Forum 2006,Data Protection Manager v2 - First Look,Jason Buffington
0360,0072,0360_w.asf,,✅,✅,350,,✅,✅,✅,49,Tech.Ed: IT Forum 2006,"How Can you Deliver Mobile E-mail to over 40,000 Users with Exchange 2003 and Windows Mobile Devices?",Jason Langridge
0361,0072,0361a_w.asf,,✅,✅,351,high,✅,✅,✅,49,Tech.Ed: IT Forum 2006,Knowing the Enemy - A Lightning Demonstration on How Hackers Attack Networks,Marcus Murray
0362,0072,0362_w.asf,, ,✅,352,,✅,✅, ,49,Tech.Ed: IT Forum 2006,Windows Vista Firewall and IPSec Enhancements,Steve Riley
0363,0072,0363_w.asf,,✅,✅,353,,✅,✅,✅,49,Tech.Ed: IT Forum 2006,Windows Storage Server 2003 R2 and the New Microsoft iSCSI Target Application Pack: Extending and Unifying Storage Management Protocols,François-Manuel Billault
